"";"frame.time";"ip.src";"ip.dst";"ip.proto";"frame.len"
"1";"Mar  8, 1999 14:00:00.498308000 CET";"172.16.112.20";"192.168.1.20";"17";74
"2";"Mar  8, 1999 14:00:00.507439000 CET";"192.168.1.20";"172.16.112.20";"17";125
"3";"Mar  8, 1999 14:00:00.508021000 CET";"172.16.112.20";"192.168.1.10";"17";74
"4";"Mar  8, 1999 14:00:00.509870000 CET";"192.168.1.10";"172.16.112.20";"17";128
"5";"Mar  8, 1999 14:00:00.510836000 CET";"172.16.114.148";"197.218.177.69";"6";60
"6";"Mar  8, 1999 14:00:00.515528000 CET";"197.218.177.69";"172.16.114.148";"6";60
"7";"Mar  8, 1999 14:00:00.515710000 CET";"172.16.114.148";"197.218.177.69";"6";60
"8";"Mar  8, 1999 14:00:00.672052000 CET";"192.168.1.10";"172.16.112.20";"17";87
"9";"Mar  8, 1999 14:00:00.672630000 CET";"172.16.112.20";"192.168.1.10";"17";174
"10";"Mar  8, 1999 14:00:00.705139000 CET";"197.218.177.69";"172.16.114.148";"6";150
"11";"Mar  8, 1999 14:00:00.715330000 CET";"172.16.114.148";"197.218.177.69";"6";60
"12";"Mar  8, 1999 14:00:00.823394000 CET";"";"";"";60
"13";"Mar  8, 1999 14:00:00.823550000 CET";"";"";"";60
"14";"Mar  8, 1999 14:00:01.016166000 CET";"172.16.114.148";"197.218.177.69";"6";70
"15";"Mar  8, 1999 14:00:01.031588000 CET";"197.218.177.69";"172.16.114.148";"6";60
"16";"Mar  8, 1999 14:00:01.064424000 CET";"197.218.177.69";"172.16.114.148";"6";122
"17";"Mar  8, 1999 14:00:01.075241000 CET";"172.16.114.148";"197.218.177.69";"6";60
"18";"Mar  8, 1999 14:00:01.125626000 CET";"";"";"";324
"19";"Mar  8, 1999 14:00:01.655914000 CET";"172.16.114.148";"197.218.177.69";"6";85
"20";"Mar  8, 1999 14:00:01.671492000 CET";"197.218.177.69";"172.16.114.148";"6";60
"21";"Mar  8, 1999 14:00:01.732489000 CET";"197.218.177.69";"172.16.114.148";"6";102
"22";"Mar  8, 1999 14:00:01.732916000 CET";"172.16.114.148";"197.218.177.69";"6";60
"23";"Mar  8, 1999 14:00:01.736048000 CET";"197.218.177.69";"172.16.114.148";"6";73
"24";"Mar  8, 1999 14:00:01.755094000 CET";"172.16.114.148";"197.218.177.69";"6";60
"25";"Mar  8, 1999 14:00:03.068166000 CET";"172.16.114.148";"197.218.177.69";"6";79
"26";"Mar  8, 1999 14:00:03.069317000 CET";"197.218.177.69";"172.16.114.148";"6";84
"27";"Mar  8, 1999 14:00:03.069917000 CET";"172.16.114.148";"197.218.177.69";"6";60
"28";"Mar  8, 1999 14:00:03.073199000 CET";"197.218.177.69";"172.16.114.148";"6";60
"29";"Mar  8, 1999 14:00:03.073469000 CET";"172.16.114.148";"197.218.177.69";"6";60
"30";"Mar  8, 1999 14:00:03.074193000 CET";"197.218.177.69";"172.16.114.148";"6";60
"31";"Mar  8, 1999 14:00:03.074646000 CET";"197.218.177.69";"172.16.114.148";"6";107
"32";"Mar  8, 1999 14:00:03.084826000 CET";"172.16.114.148";"197.218.177.69";"6";60
"33";"Mar  8, 1999 14:00:04.535457000 CET";"192.168.1.10";"172.16.112.20";"17";77
"34";"Mar  8, 1999 14:00:04.536365000 CET";"172.16.112.20";"192.168.1.10";"17";142
"35";"Mar  8, 1999 14:00:04.543994000 CET";"195.115.218.108";"172.16.112.100";"6";60
"36";"Mar  8, 1999 14:00:04.544193000 CET";"";"";"";60
"37";"Mar  8, 1999 14:00:04.546199000 CET";"";"";"";60
"38";"Mar  8, 1999 14:00:04.546298000 CET";"172.16.112.100";"195.115.218.108";"6";60
"39";"Mar  8, 1999 14:00:04.889270000 CET";"197.218.177.69";"172.16.114.148";"6";1078
"40";"Mar  8, 1999 14:00:04.889344000 CET";"197.218.177.69";"172.16.114.148";"6";78
"41";"Mar  8, 1999 14:00:04.889487000 CET";"197.218.177.69";"172.16.114.148";"6";158
"42";"Mar  8, 1999 14:00:04.889556000 CET";"197.218.177.69";"172.16.114.148";"6";60
"43";"Mar  8, 1999 14:00:04.889701000 CET";"172.16.114.148";"197.218.177.69";"6";60
"44";"Mar  8, 1999 14:00:04.904438000 CET";"172.16.114.148";"197.218.177.69";"6";60
"45";"Mar  8, 1999 14:00:04.909967000 CET";"172.16.114.148";"197.218.177.69";"6";60
"46";"Mar  8, 1999 14:00:04.910662000 CET";"197.218.177.69";"172.16.114.148";"6";60
"47";"Mar  8, 1999 14:00:05.955524000 CET";"172.16.114.148";"197.218.177.69";"6";63
"48";"Mar  8, 1999 14:00:05.957512000 CET";"197.218.177.69";"172.16.114.148";"6";83
"49";"Mar  8, 1999 14:00:05.974218000 CET";"172.16.114.148";"197.218.177.69";"6";60
"50";"Mar  8, 1999 14:00:06.627149000 CET";"172.16.112.50";"172.16.112.10";"17";90
"51";"Mar  8, 1999 14:00:06.627631000 CET";"172.16.112.10";"172.16.112.50";"17";90
"52";"Mar  8, 1999 14:00:06.785126000 CET";"172.16.114.148";"197.218.177.69";"6";79
"53";"Mar  8, 1999 14:00:06.785949000 CET";"197.218.177.69";"172.16.114.148";"6";84
"54";"Mar  8, 1999 14:00:06.786247000 CET";"172.16.114.148";"197.218.177.69";"6";60
"55";"Mar  8, 1999 14:00:06.788913000 CET";"197.218.177.69";"172.16.114.148";"6";60
"56";"Mar  8, 1999 14:00:06.789191000 CET";"172.16.114.148";"197.218.177.69";"6";60
"57";"Mar  8, 1999 14:00:06.789890000 CET";"197.218.177.69";"172.16.114.148";"6";60
"58";"Mar  8, 1999 14:00:06.794466000 CET";"197.218.177.69";"172.16.114.148";"6";107
"59";"Mar  8, 1999 14:00:06.814035000 CET";"172.16.114.148";"197.218.177.69";"6";60
"60";"Mar  8, 1999 14:00:06.849273000 CET";"197.218.177.69";"172.16.114.148";"6";669
"61";"Mar  8, 1999 14:00:06.849358000 CET";"197.218.177.69";"172.16.114.148";"6";78
"62";"Mar  8, 1999 14:00:06.849424000 CET";"197.218.177.69";"172.16.114.148";"6";60
"63";"Mar  8, 1999 14:00:06.849586000 CET";"172.16.114.148";"197.218.177.69";"6";60
"64";"Mar  8, 1999 14:00:06.850565000 CET";"172.16.114.148";"197.218.177.69";"6";60
"65";"Mar  8, 1999 14:00:06.851239000 CET";"197.218.177.69";"172.16.114.148";"6";60
"66";"Mar  8, 1999 14:00:06.864022000 CET";"172.16.114.148";"197.218.177.69";"6";60
"67";"Mar  8, 1999 14:00:08.106710000 CET";"172.16.114.148";"197.218.177.69";"6";64
"68";"Mar  8, 1999 14:00:08.120186000 CET";"197.218.177.69";"172.16.114.148";"6";60
"69";"Mar  8, 1999 14:00:08.173797000 CET";"197.218.177.69";"172.16.114.148";"6";83
"70";"Mar  8, 1999 14:00:08.193748000 CET";"172.16.114.148";"197.218.177.69";"6";60
"71";"Mar  8, 1999 14:00:08.637962000 CET";"172.16.112.100";"172.16.112.10";"17";90
"72";"Mar  8, 1999 14:00:08.638308000 CET";"172.16.112.10";"172.16.112.100";"17";90
"73";"Mar  8, 1999 14:00:09.255137000 CET";"172.16.114.148";"197.218.177.69";"6";79
"74";"Mar  8, 1999 14:00:09.256177000 CET";"197.218.177.69";"172.16.114.148";"6";84
"75";"Mar  8, 1999 14:00:09.256533000 CET";"172.16.114.148";"197.218.177.69";"6";60
"76";"Mar  8, 1999 14:00:09.259457000 CET";"197.218.177.69";"172.16.114.148";"6";60
"77";"Mar  8, 1999 14:00:09.259743000 CET";"172.16.114.148";"197.218.177.69";"6";60
"78";"Mar  8, 1999 14:00:09.260443000 CET";"197.218.177.69";"172.16.114.148";"6";60
"79";"Mar  8, 1999 14:00:09.265053000 CET";"197.218.177.69";"172.16.114.148";"6";107
"80";"Mar  8, 1999 14:00:09.283523000 CET";"172.16.114.148";"197.218.177.69";"6";60
"81";"Mar  8, 1999 14:00:09.290054000 CET";"197.218.177.69";"172.16.114.148";"6";1078
"82";"Mar  8, 1999 14:00:09.291631000 CET";"197.218.177.69";"172.16.114.148";"6";1514
"83";"Mar  8, 1999 14:00:09.291716000 CET";"197.218.177.69";"172.16.114.148";"6";78
"84";"Mar  8, 1999 14:00:09.303519000 CET";"172.16.114.148";"197.218.177.69";"6";60
"85";"Mar  8, 1999 14:00:09.303585000 CET";"172.16.114.148";"197.218.177.69";"6";60
